focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0,0.01,0,0,1000,0,3,1,10,0,1.5596429522754107,1.6811640531607843,0.006168482188936448,-1
0,0.01,0,0,1000,0,3,1,30,0,1.5329984647394501,1.6682574567844626,0.0059398284704775955,-1
0,0.01,0,0,1000,0,3,1,100,0,1.540358570274812,1.6714651286526896,0.005854710088804249,-1
0,0.01,0,0,1000,0,3,1,300,0,1.5584977019196389,1.6804015559154333,0.006107425913128069,-1
0,0.01,0,0,1000,0,3,1,1000,0,1.5670021881329863,1.6854984142560925,0.006505423417131944,-1
0,0.01,0,0,1000,0,3,1,3000,0,1.5655966311496108,1.684294550894957,0.0064358438317958,-1
0,0.01,0,0,1000,0,3,1,10000,0,1.5655973507030245,1.684294882937924,0.006435814725412222,-1
0,0.01,0,0,1000,0,3,2,10,0,1.4812536297384258,1.6227840692762343,0.003990148243283208,-1
0,0.01,0,0,1000,0,3,2,30,0,1.4348855709732748,1.5981822325892159,0.003879858275830536,-1
0,0.01,0,0,1000,0,3,2,100,0,1.440250839044064,1.6052481656543365,0.004095484454904777,-1
0,0.01,0,0,1000,0,3,2,300,0,1.4408036392953085,1.6069595511979233,0.0043711200979242295,-1
0,0.01,0,0,1000,0,3,2,1000,0,1.4265224162031307,1.5927281916407778,0.0044398205996684596,-1
0,0.01,0,0,1000,0,3,2,3000,0,1.4210115394633946,1.5886729285035597,0.004476254456168134,-1
0,0.01,0,0,1000,0,3,2,10000,0,1.4185829097376987,1.5876656378987533,0.004526628291533757,-1
0,0.01,0,0,1000,0,3,3,10,0,1.5175167006587966,1.7010104711704102,0.00372195197725141,-1
0,0.01,0,0,1000,0,3,3,30,0,1.486407374026966,1.6919378899938546,0.0036273868907641623,-1
0,0.01,0,0,1000,0,3,3,100,0,1.5045244488693914,1.7043746433012623,0.00374774856646922,-1
0,0.01,0,0,1000,0,3,3,300,0,1.5065362593898144,1.7081976698962016,0.0047575376900275326,-1
0,0.01,0,0,1000,0,3,3,1000,0,1.492228812854563,1.6968451662770119,0.005146326290005939,-1
0,0.01,0,0,1000,0,3,3,3000,0,1.491556351221829,1.6962515151176287,0.005139703761703784,-1
0,0.01,0,0,1000,0,3,3,10000,0,1.4915562220645149,1.6962513926122555,0.0051397013173951145,-1
