focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0,0,0,0.1,100,0,3,1,10,0,1.1827189005738354,1.2576616412999186,0.005811556442561865,-1
0,0,0,0.1,100,0,3,1,30,0,0.988276659974648,1.1072546774783574,0.005089371033692264,-1
0,0,0,0.1,100,0,3,1,100,0,0.9262062363954511,1.0046127968521132,0.005529645190166136,-1
0,0,0,0.1,100,0,3,1,300,0,1.0720551776064011,1.1220796486623206,0.007855842806276424,-1
0,0,0,0.1,100,0,3,1,1000,0.1111111111111111,0.0016973212753180903,0.8181793093903228,0.006251904392054361,400
0,0,0,0.1,100,0,3,1,3000,0.2222222222222222,0.00032923850571515685,0.41260244589456363,0.00352977857160374,400
0,0,0,0.1,100,0,3,1,10000,0.2222222222222222,0.000189717641912661,0.21985863116253165,0.002048077168505037,400
0,0,0,0.1,100,0,3,2,10,0,1.189148179927083,1.345575863670025,0.003585865354978439,-1
0,0,0,0.1,100,0,3,2,30,0,0.9936318398105928,1.1897091976460186,0.0033191365396959558,-1
0,0,0,0.1,100,0,3,2,100,0,0.9430363073253479,1.1448628257982458,0.004979229049609915,-1
0,0,0,0.1,100,0,3,2,300,0,0.6750539529327811,1.066717234302723,0.003681631366199731,-1
0,0,0,0.1,100,0,3,2,1000,0.1111111111111111,0.003987263273868,0.9375257137081207,0.004480130038767077,600
0,0,0,0.1,100,0,3,2,3000,0.2222222222222222,0.0023187388737264288,0.6791103098779842,0.0030031245252466563,600
0,0,0,0.1,100,0,3,2,10000,0.4444444444444444,0,0,0,600
0,0,0,0.1,100,0,3,3,10,0,1.0744819335937743,1.327377923427296,0.0035049492729311007,-1
0,0,0,0.1,100,0,3,3,30,0,0.871076421625173,1.1523274307906897,0.004173041274690884,-1
0,0,0,0.1,100,0,3,3,100,0.1111111111111111,0.18541167814455897,1.0390566424710375,0.00421072670990932,100
0,0,0,0.1,100,0,3,3,300,0.3333333333333333,0.0023683613616412784,0.6344538083713015,0.010064946828665622,100
0,0,0,0.1,100,0,3,3,1000,0.4444444444444444,0.0005814028439717365,0.5540408190362227,0.007888660210249867,100
0,0,0,0.1,100,0,3,3,3000,0.4444444444444444,0.0016743099033280457,0.49300820337857176,0.00681051220692294,100
0,0,0,0.1,100,0,3,3,10000,0.7777777777777778,0,0,0,100
