focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0.01,0,0,0,1000,0,3,1,10,0,1.4091283120910811,1.5520349921663181,0.009776638899921294,-1
0.01,0,0,0,1000,0,3,1,30,0,1.291414291169318,1.482213454214925,0.009735267775261867,-1
0.01,0,0,0,1000,0,3,1,100,0,1.2201642654776277,1.4526120421402513,0.00950221532333491,-1
0.01,0,0,0,1000,0,3,1,300,0,1.3928756483663323,1.5143060436014173,0.009380882961385346,-1
0.01,0,0,0,1000,0,3,1,1000,0,1.2973242119505681,1.4806085751699625,0.009948171145737823,-1
0.01,0,0,0,1000,0,3,1,3000,0,1.2478348052444954,1.4490106701479923,0.009798074460424631,-1
0.01,0,0,0,1000,0,3,1,10000,0,1.406485742285827,1.486028834854247,0.006997607594228395,-1
0.01,0,0,0,1000,0,3,2,10,0,1.3236586847928409,1.4847104297074163,0.004712435420396006,-1
0.01,0,0,0,1000,0,3,2,30,0,1.1669897362175523,1.3880001438775527,0.0039702925040153835,-1
0.01,0,0,0,1000,0,3,2,100,0,1.0404859412280372,1.3178492463762874,0.0040023589838603995,-1
0.01,0,0,0,1000,0,3,2,300,0,1.125852491190056,1.3801305594901443,0.008724332720898002,-1
0.01,0,0,0,1000,0,3,2,1000,0,1.1226739563938075,1.378239421716333,0.004050160657344101,-1
0.01,0,0,0,1000,0,3,2,3000,0,1.1507632003475134,1.3379487050838996,0.007504798980622991,-1
0.01,0,0,0,1000,0,3,2,10000,0,1.09349423873075,1.3649751868665976,0.013545389742967796,-1
0.01,0,0,0,1000,0,3,3,10,0,1.3494707266983115,1.5667279637140215,0.007674325386979904,-1
0.01,0,0,0,1000,0,3,3,30,0,1.1922946743839897,1.4850680415472315,0.008140087238890543,-1
0.01,0,0,0,1000,0,3,3,100,0,0.9820968192125125,1.39024358556806,0.008769660932353984,-1
0.01,0,0,0,1000,0,3,3,300,0,1.2882014329111922,1.5249436406488843,0.016558003387097755,-1
0.01,0,0,0,1000,0,3,3,1000,0,1.145810626075262,1.3737982666613873,0.03567470618663374,-1
0.01,0,0,0,1000,0,3,3,3000,0,1.123209665715795,1.4432076853369176,0.01735825137304951,-1
0.01,0,0,0,1000,0,3,3,10000,0,1.0720451708386973,1.378227250126813,0.00981656267120787,-1
