focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0,0,0,0.03,1000,0,3,1,10,0,1.4328480299736577,1.4798521607893598,0.005896803086970107,-1
0,0,0,0.03,1000,0,3,1,30,0,1.3424146395922032,1.4104438673091606,0.005286313704093905,-1
0,0,0,0.03,1000,0,3,1,100,0,1.2816553806575746,1.3410792071345499,0.006288979625822176,-1
0,0,0,0.03,1000,0,3,1,300,0,1.302305713990357,1.4075575312523039,0.007606554190325531,-1
0,0,0,0.03,1000,0,3,1,1000,0,1.2778535913484408,1.3626517120147712,0.006519662830229203,-1
0,0,0,0.03,1000,0,3,1,3000,0,1.2930842345130276,1.3749106255325836,0.007191978135941353,-1
0,0,0,0.03,1000,0,3,1,10000,0,1.185493016717966,1.3554952628156416,0.007499712411132447,-1
0,0,0,0.03,1000,0,3,2,10,0,1.2988153993884906,1.470627509848644,0.003526767508736994,-1
0,0,0,0.03,1000,0,3,2,30,0,1.1674443703474995,1.374046525749659,0.0032806640811069124,-1
0,0,0,0.03,1000,0,3,2,100,0,1.1362185285338695,1.3405536541151377,0.004421801601706394,-1
0,0,0,0.03,1000,0,3,2,300,0,1.1880991712404962,1.3540128008790975,0.0035828878479161747,-1
0,0,0,0.03,1000,0,3,2,1000,0,1.198301215662565,1.3628749130984656,0.0035150965477238356,-1
0,0,0,0.03,1000,0,3,2,3000,0,1.149134530435176,1.333016555761619,0.0051139829185818195,-1
0,0,0,0.03,1000,0,3,2,10000,0,1.2251782885594855,1.375305924385809,0.0067251814730448665,-1
0,0,0,0.03,1000,0,3,3,10,0,1.35835135986296,1.5124428297141541,0.003668263559416984,-1
0,0,0,0.03,1000,0,3,3,30,0,1.218732244458426,1.423400767653696,0.004202054196178546,-1
0,0,0,0.03,1000,0,3,3,100,0,1.2004397351528227,1.3628391643243027,0.008214397459908021,-1
0,0,0,0.03,1000,0,3,3,300,0,1.188675688473889,1.359028804440296,0.007180307472341416,-1
0,0,0,0.03,1000,0,3,3,1000,0,1.1824207254640176,1.3570511723853202,0.016457545331037524,-1
0,0,0,0.03,1000,0,3,3,3000,0,1.0523378008248425,1.3578862413902673,0.016096026181101702,-1
0,0,0,0.03,1000,0,3,3,10000,0,1.2260741117797043,1.4455617570133659,0.009443942008819203,-1
