focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0,0,0,0.3,100,0,3,1,10,0.1111111111111111,0.14146178410244625,0.33267909797129813,0.0035723267949683704,10
0,0,0,0.3,100,0,3,1,30,0.3333333333333333,3.4924367129517055e-9,0.000007819601773334589,7.206643400082762e-8,10
0,0,0,0.3,100,0,3,1,100,0.3333333333333333,2.4753721034582453e-43,2.5938269012944422e-42,3.062830603079866e-41,10
0,0,0,0.3,100,0,3,1,300,0.3333333333333333,6.191659839364095e-145,3.5795658094004786e-144,9.308152864969064e-142,10
0,0,0,0.3,100,0,3,1,1000,0.3333333333333333,0,0,0,10
0,0,0,0.3,100,0,3,1,3000,0.3333333333333333,0,0,0,10
0,0,0,0.3,100,0,3,1,10000,0.3333333333333333,0,0,0,10
0,0,0,0.3,100,0,3,2,10,0,0.53670684544259,0.7543905812235293,0.003510148649194391,-1
0,0,0,0.3,100,0,3,2,30,0.3333333333333333,0.0002732785336886185,0.23733025888696657,0.0010859888331531632,30
0,0,0,0.3,100,0,3,2,100,0.3333333333333333,0.000016349274934899895,0.08359488147338381,0.00046855446670049605,30
0,0,0,0.3,100,0,3,2,300,0.4444444444444444,4.213371806192559e-100,4.284662272296414e-99,2.436244141784851e-97,30
0,0,0,0.3,100,0,3,2,1000,0.4444444444444444,0,0,0,30
0,0,0,0.3,100,0,3,2,3000,0.4444444444444444,0,0,0,30
0,0,0,0.3,100,0,3,2,10000,0.4444444444444444,0,0,0,30
0,0,0,0.3,100,0,3,3,10,0.1111111111111111,0.0066016037660141975,0.6479879008337248,0.002454378957565688,10
0,0,0,0.3,100,0,3,3,30,0.5555555555555556,0.00039335005104577535,0.24267641844464266,0.002568304873232056,10
0,0,0,0.3,100,0,3,3,100,0.6666666666666666,0.00006295794291404147,0.11508766352883879,0.0009234401179000425,10
0,0,0,0.3,100,0,3,3,300,0.7777777777777778,3.036680479206446e-82,2.9588967387407782e-80,1.0173909441987076e-79,10
0,0,0,0.3,100,0,3,3,1000,0.7777777777777778,0,0,0,10
0,0,0,0.3,100,0,3,3,3000,0.7777777777777778,0,0,0,10
0,0,0,0.3,100,0,3,3,10000,0.7777777777777778,0,0,0,10
