focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
-0.001,0,0,0,1000,0,3,1,10,0,1.4912621221778746,1.6157550239959573,0.0056720636363728,-1
-0.001,0,0,0,1000,0,3,1,30,0,1.4454656465519264,1.5856313432735802,0.005366172760784655,-1
-0.001,0,0,0,1000,0,3,1,100,0,1.4550103621133046,1.589690384146677,0.005240115152190176,-1
-0.001,0,0,0,1000,0,3,1,300,0,1.4683793366299478,1.5963039275197575,0.005724323606983522,-1
-0.001,0,0,0,1000,0,3,1,1000,0,1.4553992861145808,1.585033913427731,0.006014732840830952,-1
-0.001,0,0,0,1000,0,3,1,3000,0,1.4485902449144676,1.5818172796571124,0.007187550469234688,-1
-0.001,0,0,0,1000,0,3,1,10000,0,1.4603934694363292,1.5871080971655445,0.0051321340720345615,-1
-0.001,0,0,0,1000,0,3,2,10,0,1.4112404145411466,1.5557478530474242,0.003838242728237578,-1
-0.001,0,0,0,1000,0,3,2,30,0,1.3439872439733824,1.513371093458207,0.003747035085019052,-1
-0.001,0,0,0,1000,0,3,2,100,0,1.3455554863115078,1.5209749200435347,0.004155519991571609,-1
-0.001,0,0,0,1000,0,3,2,300,0,1.3223446861370212,1.5058977962859255,0.004442300686437536,-1
-0.001,0,0,0,1000,0,3,2,1000,0,1.2976207991232278,1.4807668649955021,0.0038310671724309697,-1
-0.001,0,0,0,1000,0,3,2,3000,0,1.3154827871171122,1.4936497514053062,0.004377090698378881,-1
-0.001,0,0,0,1000,0,3,2,10000,0,1.301267227437294,1.5065946941626536,0.004519468953956281,-1
-0.001,0,0,0,1000,0,3,3,10,0,1.4490378393747938,1.6338695112203057,0.003450280400478119,-1
-0.001,0,0,0,1000,0,3,3,30,0,1.400332822162583,1.60934472574919,0.003299974628683269,-1
-0.001,0,0,0,1000,0,3,3,100,0,1.4158748422872938,1.6228193862254308,0.003570196264430708,-1
-0.001,0,0,0,1000,0,3,3,300,0,1.3888055915630384,1.6116021299941699,0.004861082330840476,-1
-0.001,0,0,0,1000,0,3,3,1000,0,1.3612094238309291,1.59140385043954,0.0054919034861288935,-1
-0.001,0,0,0,1000,0,3,3,3000,0,1.3589714228724992,1.589639109148352,0.005580579942870202,-1
-0.001,0,0,0,1000,0,3,3,10000,0,1.3589659148355762,1.5896347746398507,0.005580819285974765,-1
