focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0,0,0.003,0,1000,0,3,1,10,0,1.4682100665403377,1.608650826661498,0.009194211744585994,-1
0,0,0.003,0,1000,0,3,1,30,0,1.484516233861424,1.627174797812598,0.007983615977851813,-1
0,0,0.003,0,1000,0,3,1,100,0,1.4665091091268008,1.5960350470186213,0.007379740069769069,-1
0,0,0.003,0,1000,0,3,1,300,0,1.4694423076913405,1.573951640423059,0.006195051790090823,-1
0,0,0.003,0,1000,0,3,1,1000,0,1.4892577305245145,1.622383546876326,0.006487292075924784,-1
0,0,0.003,0,1000,0,3,1,3000,0,1.478102477158162,1.5496472895013993,0.006865475373163753,-1
0,0,0.003,0,1000,0,3,1,10000,0,1.4359723655254166,1.61269975996908,0.00549480883820485,-1
0,0,0.003,0,1000,0,3,2,10,0,1.4581291077584175,1.5916581417646753,0.006152518155755472,-1
0,0,0.003,0,1000,0,3,2,30,0,1.4175607803240888,1.5509358420343782,0.004903051197830758,-1
0,0,0.003,0,1000,0,3,2,100,0,1.329256039338593,1.5242153874294586,0.005930014380975871,-1
0,0,0.003,0,1000,0,3,2,300,0,1.3497129023541283,1.5576944913358601,0.0071285495163788785,-1
0,0,0.003,0,1000,0,3,2,1000,0,1.2854613600873017,1.495800990715621,0.00656132719014214,-1
0,0,0.003,0,1000,0,3,2,3000,0,1.2978469242616633,1.4815177896056033,0.006680959253276701,-1
0,0,0.003,0,1000,0,3,2,10000,0,1.341998325365073,1.506427077109185,0.00489394510513145,-1
0,0,0.003,0,1000,0,3,3,10,0,1.4280653805560415,1.6394297894301515,0.004857558789652848,-1
0,0,0.003,0,1000,0,3,3,30,0,1.3186604606402554,1.5917234401057327,0.00634634173413641,-1
0,0,0.003,0,1000,0,3,3,100,0,1.3801440107799026,1.618324939310547,0.004836705416565622,-1
0,0,0.003,0,1000,0,3,3,300,0,1.409611769533099,1.6355803778381064,0.006590472720909259,-1
0,0,0.003,0,1000,0,3,3,1000,0,1.4450597446430216,1.6453536643235516,0.007335842101491239,-1
0,0,0.003,0,1000,0,3,3,3000,0,1.37331408115194,1.621031960411554,0.009548625119414917,-1
0,0,0.003,0,1000,0,3,3,10000,0,1.3474830463617435,1.6073059639116474,0.006684891645577732,-1
