focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0.001,0,0,0,1000,0,3,1,10,0,1.4977057912002434,1.6225143440873158,0.0062689814559379,-1
0.001,0,0,0,1000,0,3,1,30,0,1.4541731131408049,1.59529336800256,0.006023480411656358,-1
0.001,0,0,0,1000,0,3,1,100,0,1.4600805683188711,1.5975465297401268,0.005976001015740498,-1
0.001,0,0,0,1000,0,3,1,300,0,1.480631040122002,1.6072145103311766,0.006175458780867546,-1
0.001,0,0,0,1000,0,3,1,1000,0,1.5030734941051485,1.619783506326013,0.006777591452359311,-1
0.001,0,0,0,1000,0,3,1,3000,0,1.5036069938187573,1.6196070680179948,0.006772985089354741,-1
0.001,0,0,0,1000,0,3,1,10000,0,1.5036078331025542,1.6196064548536995,0.0067730555713632935,-1
0.001,0,0,0,1000,0,3,2,10,0,1.4172247186579472,1.56192176921515,0.004007676346810932,-1
0.001,0,0,0,1000,0,3,2,30,0,1.3521743489870504,1.5211287547689918,0.0038105105650062593,-1
0.001,0,0,0,1000,0,3,2,100,0,1.3570827206959208,1.5266284774853993,0.0038972734317143437,-1
0.001,0,0,0,1000,0,3,2,300,0,1.3679168505535264,1.534917698975812,0.0040205546962187345,-1
0.001,0,0,0,1000,0,3,2,1000,0,1.3688873961092518,1.5332956331592908,0.0040954533849377256,-1
0.001,0,0,0,1000,0,3,2,3000,0,1.3687391062358516,1.5329959065940886,0.004098583640079121,-1
0.001,0,0,0,1000,0,3,2,10000,0,1.3687392285478517,1.532995781619075,0.00409856626561191,-1
0.001,0,0,0,1000,0,3,3,10,0,1.4523592936505183,1.6399510479277417,0.0038679403444611595,-1
0.001,0,0,0,1000,0,3,3,30,0,1.4036256009025343,1.6164088390267193,0.003748809900859052,-1
0.001,0,0,0,1000,0,3,3,100,0,1.4262998879129087,1.6306153687353764,0.0038795874456204965,-1
0.001,0,0,0,1000,0,3,3,300,0,1.4435238556592218,1.6421021321264513,0.005004108287989093,-1
0.001,0,0,0,1000,0,3,3,1000,0,1.4401036997978651,1.6380842945172966,0.005578403766207928,-1
0.001,0,0,0,1000,0,3,3,3000,0,1.4400540440288856,1.6380273278036894,0.005581419971137385,-1
0.001,0,0,0,1000,0,3,3,10000,0,1.440054043939962,1.6380273276848876,0.005581419968248979,-1
