focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0,0,0,0.1,1000,0,3,1,10,0,1.1827189005738354,1.2576616412999186,0.005811556442561865,-1
0,0,0,0.1,1000,0,3,1,30,0,0.988276659974648,1.1072546774783574,0.005089371033692264,-1
0,0,0,0.1,1000,0,3,1,100,0,0.9262062363954511,1.0046127968521132,0.005529645190166136,-1
0,0,0,0.1,1000,0,3,1,300,0,1.0003246599529683,1.0973987855591727,0.00535284045134817,-1
0,0,0,0.1,1000,0,3,1,1000,0,1.008714156326115,1.0841951512054295,0.005798543335314942,-1
0,0,0,0.1,1000,0,3,1,3000,0,1.0537117906265296,1.1108338751287772,0.007735289195534698,-1
0,0,0,0.1,1000,0,3,1,10000,0.1111111111111111,0.0029956999213019064,0.805774164679896,0.005561885903074605,3100
0,0,0,0.1,1000,0,3,2,10,0,1.189148179927083,1.345575863670025,0.003585865354978439,-1
0,0,0,0.1,1000,0,3,2,30,0,0.9936318398105928,1.1897091976460186,0.0033191365396959558,-1
0,0,0,0.1,1000,0,3,2,100,0,0.9430363073253479,1.1448628257982458,0.004979229049609915,-1
0,0,0,0.1,1000,0,3,2,300,0,0.9315507357400078,1.1786997240280206,0.00352972909794935,-1
0,0,0,0.1,1000,0,3,2,1000,0,0.9837135307532202,1.1807101171070502,0.0050882748448581455,-1
0,0,0,0.1,1000,0,3,2,3000,0.1111111111111111,0.0025091359875557113,0.9284009567414329,0.005199040727677903,2200
0,0,0,0.1,1000,0,3,2,10000,0.2222222222222222,0.003334056951566458,0.6472813361860954,0.0063937320088759495,2200
0,0,0,0.1,1000,0,3,3,10,0,1.0744819335937743,1.327377923427296,0.0035049492729311007,-1
0,0,0,0.1,1000,0,3,3,30,0,0.871076421625173,1.1523274307906897,0.004173041274690884,-1
0,0,0,0.1,1000,0,3,3,100,0.1111111111111111,0.18541167814455897,1.0390566424710375,0.00421072670990932,100
0,0,0,0.1,1000,0,3,3,300,0.1111111111111111,0.004307675440161124,0.9988049367528892,0.004843276812776727,100
0,0,0,0.1,1000,0,3,3,1000,0.1111111111111111,0.007590242823354058,0.9940003808264599,0.013620733175448686,100
0,0,0,0.1,1000,0,3,3,3000,0.3333333333333333,0.001654209554061368,0.6571473131092462,0.007218164220727241,100
0,0,0,0.1,1000,0,3,3,10000,0.4444444444444444,0.0007680163682588761,0.5466672639296531,0.006668944166877194,100
