focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0.005,0,0,0,1000,0,3,1,10,0,1.4820864212300464,1.6116447340744553,0.007668290959497274,-1
0.005,0,0,0,1000,0,3,1,30,0,1.4241647713170265,1.5777552051151866,0.007546153094649221,-1
0.005,0,0,0,1000,0,3,1,100,0,1.4000235427920427,1.5680011219246517,0.007749133561598597,-1
0.005,0,0,0,1000,0,3,1,300,0,1.39181442262522,1.5631480983625872,0.007627197550350704,-1
0.005,0,0,0,1000,0,3,1,1000,0,1.4039123370395536,1.5516760887635328,0.008679689373271498,-1
0.005,0,0,0,1000,0,3,1,3000,0,1.4371662654231228,1.5200773849671905,0.0056713459992369045,-1
0.005,0,0,0,1000,0,3,1,10000,0,1.40371973584058,1.5398325436932032,0.009054667800243584,-1
0.005,0,0,0,1000,0,3,2,10,0,1.3998291093253281,1.548803780548223,0.004338134188824771,-1
0.005,0,0,0,1000,0,3,2,30,0,1.316199958103021,1.4969644142763348,0.003911303879670707,-1
0.005,0,0,0,1000,0,3,2,100,0,1.2731259086304136,1.4753943704548407,0.003574950298497057,-1
0.005,0,0,0,1000,0,3,2,300,0,1.2463304551234151,1.4495913662264677,0.004423293402944853,-1
0.005,0,0,0,1000,0,3,2,1000,0,1.284793984501243,1.465486364937468,0.005981905987856349,-1
0.005,0,0,0,1000,0,3,2,3000,0,1.2622200600613542,1.4472673437840478,0.008727632448154218,-1
0.005,0,0,0,1000,0,3,2,10000,0,1.2969350822961314,1.4332303728203386,0.007509960580534989,-1
0.005,0,0,0,1000,0,3,3,10,0,1.4303366640904551,1.6278445767339231,0.005138806188051197,-1
0.005,0,0,0,1000,0,3,3,30,0,1.3569270969397982,1.5925168199648214,0.005188429065532497,-1
0.005,0,0,0,1000,0,3,3,100,0,1.3307870291287507,1.5823393205444987,0.005797478889615504,-1
0.005,0,0,0,1000,0,3,3,300,0,1.2703014615268338,1.554413450644203,0.00712326446274879,-1
0.005,0,0,0,1000,0,3,3,1000,0,1.376335853762124,1.6077629021413369,0.011333282591389502,-1
0.005,0,0,0,1000,0,3,3,3000,0,1.3931735740111966,1.6073408440359775,0.011145504432430956,-1
0.005,0,0,0,1000,0,3,3,10000,0,1.3783147581468573,1.5623210714841187,0.007341186326522509,-1
