focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
-0.005,0,0,0,1000,0,3,1,10,0,1.4504003561757695,1.578396315411915,0.005170338247172544,-1
-0.005,0,0,0,1000,0,3,1,30,0,1.3801480097828243,1.5297014484573241,0.004966521591369385,-1
-0.005,0,0,0,1000,0,3,1,100,0,1.366008895330842,1.525183204455795,0.004860285001437369,-1
-0.005,0,0,0,1000,0,3,1,300,0,1.3890934382040443,1.5283415859939178,0.005898930679185354,-1
-0.005,0,0,0,1000,0,3,1,1000,0,1.3841503259360612,1.4834835245504623,0.005723819429870988,-1
-0.005,0,0,0,1000,0,3,1,3000,0,1.3214340330341556,1.4848019603624554,0.004826859230626509,-1
-0.005,0,0,0,1000,0,3,1,10000,0,1.3867862837618632,1.4820709615295484,0.005692123484067872,-1
-0.005,0,0,0,1000,0,3,2,10,0,1.370138065898554,1.5183450005043948,0.0034998680517488007,-1
-0.005,0,0,0,1000,0,3,2,30,0,1.2723681813547252,1.4576614345472376,0.003572052236732187,-1
-0.005,0,0,0,1000,0,3,2,100,0,1.207466871307713,1.4398810489216345,0.0042157527390160624,-1
-0.005,0,0,0,1000,0,3,2,300,0,1.1918181154402603,1.407269717675879,0.004000668099779895,-1
-0.005,0,0,0,1000,0,3,2,1000,0,1.2163035992116926,1.4064482471362927,0.006446096840451868,-1
-0.005,0,0,0,1000,0,3,2,3000,0,1.1988246391338662,1.3890247527400963,0.005043109149182496,-1
-0.005,0,0,0,1000,0,3,2,10000,0,1.1731639238878604,1.403630062738315,0.0035742233881694684,-1
-0.005,0,0,0,1000,0,3,3,10,0,1.4141290339151398,1.5980703893541215,0.0030112158122615057,-1
-0.005,0,0,0,1000,0,3,3,30,0,1.3396413811999206,1.5578233626451332,0.0028767297567611097,-1
-0.005,0,0,0,1000,0,3,3,100,0,1.2763034463511673,1.543316325979707,0.00435667456647333,-1
-0.005,0,0,0,1000,0,3,3,300,0,1.252089355774066,1.5102289756176328,0.008119856144217043,-1
-0.005,0,0,0,1000,0,3,3,1000,0,1.284647331239382,1.5092407375884664,0.00866536483500939,-1
-0.005,0,0,0,1000,0,3,3,3000,0,1.2351841920111921,1.5001442128572566,0.008077174134189019,-1
-0.005,0,0,0,1000,0,3,3,10000,0,1.212917746798495,1.4912041797931583,0.005814028959068712,-1
