pattern,flips,rep,outcome,hamming_to_source,nearest,nearest_hamming,converged_by,on_cells_final
rand3,6,0,spurious,4,rand3,4,160,3
rand3,6,1,spurious,4,rand3,4,10,3
rand3,6,2,spurious,4,rand3,4,10,3
rand3,6,3,spurious,4,rand3,4,10,3
rand3,6,4,spurious,4,rand3,4,10,3
rand3,6,5,spurious,4,rand3,4,10,3
rand3,8,0,spurious,7,rand1,6,0,0
rand3,8,1,spurious,5,rand3,5,10,2
rand3,8,2,spurious,4,rand3,4,10,3
rand3,8,3,spurious,6,rand3,6,10,1
rand3,8,4,spurious,4,rand2,4,430,3
rand3,8,5,spurious,4,rand1,3,40,3
