pattern,flips,rep,outcome,hamming_to_source,nearest,nearest_hamming,converged_by,on_cells_final
smile,4,5,spurious,24,cross,18,50,2
smile,6,0,spurious,24,cross,18,40,2
smile,6,1,spurious,24,cross,18,50,2
smile,6,2,spurious,24,cross,18,40,2
smile,6,3,spurious,26,cross,16,0,0
smile,6,4,spurious,24,cross,18,40,2
smile,6,5,spurious,26,cross,16,50,0
smile,8,0,spurious,24,cross,18,210,2
smile,8,1,spurious,24,cross,18,40,2
smile,8,2,spurious,24,cross,18,40,2
smile,8,3,spurious,24,cross,18,10,2
smile,8,4,spurious,26,cross,16,50,0
smile,8,5,spurious,24,cross,18,10,2
smile,12,0,spurious,25,cross,19,40,3
smile,12,1,spurious,25,cross,17,10,1
smile,12,2,spurious,27,cross,17,320,1
smile,12,3,spurious,24,cross,18,10,2
smile,12,4,spurious,24,cross,18,50,2
smile,12,5,spurious,24,cross,20,290,4
smile,16,0,spurious,28,cross,16,20,4
smile,16,1,spurious,25,cross,19,20,3
smile,16,2,spurious,27,cross,17,210,3
smile,16,3,spurious,25,cross,21,10,5
smile,16,4,spurious,27,cross,17,230,3
smile,16,5,spurious,28,cross,18,900,2
smile,24,0,spurious,25,cross,17,40,1
smile,24,1,spurious,26,cross,18,60,2
smile,24,2,spurious,28,cross,16,340,4
smile,24,3,spurious,25,cross,19,10,3
smile,24,4,spurious,24,cross,18,210,2
smile,24,5,spurious,25,cross,21,20,5
smile,32,0,spurious,28,cross,16,340,4
smile,32,1,spurious,28,cross,18,30,4
smile,32,2,spurious,27,cross,15,290,1
smile,32,3,spurious,26,cross,20,740,4
smile,32,4,spurious,25,cross,17,20,1
smile,32,5,spurious,27,cross,17,10,3
rand1,0,0,spurious,21,cross,17,500,5
rand1,0,1,spurious,21,cross,17,500,5
rand1,0,2,spurious,21,cross,17,500,5
rand1,0,3,spurious,21,cross,17,500,5
rand1,0,4,spurious,21,cross,17,500,5
rand1,0,5,spurious,21,cross,17,500,5
rand1,2,0,spurious,21,cross,17,500,5
rand1,2,1,spurious,21,cross,17,520,5
rand1,2,2,spurious,21,cross,17,530,5
rand1,2,3,spurious,21,cross,17,500,5
rand1,2,4,spurious,21,cross,17,500,5
rand1,2,5,spurious,21,cross,17,490,5
rand1,4,0,spurious,21,cross,17,570,5
rand1,4,1,spurious,22,cross,18,650,6
rand1,4,2,spurious,21,cross,17,470,5
rand1,4,3,spurious,21,cross,19,20,5
rand1,4,4,spurious,21,cross,17,490,5
rand1,4,5,spurious,22,cross,18,20,6
rand1,6,0,spurious,21,cross,19,10,5
rand1,6,1,spurious,22,cross,18,900,4
rand1,6,2,spurious,24,cross,16,340,4
rand1,6,3,spurious,21,cross,17,470,5
rand1,6,4,spurious,23,cross,15,2710,3
rand1,6,5,spurious,21,cross,17,470,5
rand1,8,0,spurious,21,cross,17,370,5
rand1,8,1,spurious,21,cross,17,20,5
rand1,8,2,spurious,23,cross,15,380,3
rand1,8,3,spurious,21,cross,17,20,5
rand1,8,4,spurious,21,cross,17,430,5
rand1,8,5,spurious,21,cross,17,750,5
rand1,12,0,spurious,21,cross,17,480,5
rand1,12,1,spurious,23,cross,17,1690,5
rand1,12,2,spurious,21,cross,17,20,5
rand1,12,3,spurious,22,cross,18,660,6
rand1,12,4,spurious,21,cross,17,30,5
rand1,12,5,spurious,22,cross,16,20,4
rand1,16,0,spurious,23,cross,15,2700,3
rand1,16,1,spurious,21,cross,17,730,5
rand1,16,2,spurious,26,cross,18,200,2
rand1,16,3,spurious,22,cross,18,20,4
rand1,16,4,spurious,23,cross,15,60,3
rand1,16,5,spurious,23,cross,17,20,5
rand1,24,0,spurious,21,cross,17,430,5
rand1,24,1,spurious,22,cross,18,30,4
rand1,24,2,spurious,23,cross,17,40,3
rand1,24,3,spurious,23,cross,21,20,5
rand1,24,4,spurious,24,cross,16,60,2
rand1,24,5,spurious,23,cross,17,50,3
rand1,32,0,spurious,26,cross,16,50,0
rand1,32,1,spurious,25,cross,17,320,1
rand1,32,2,spurious,25,cross,17,30,1
rand1,32,3,spurious,22,cross,18,10,4
rand1,32,4,spurious,24,cross,16,330,4
rand1,32,5,spurious,26,cross,18,20,2
rand2,0,0,spurious,20,cross,16,430,2
rand2,0,1,spurious,20,cross,16,430,2
rand2,0,2,spurious,20,cross,16,430,2
rand2,0,3,spurious,20,cross,16,430,2
rand2,0,4,spurious,20,cross,16,430,2
rand2,0,5,spurious,20,cross,16,430,2
rand2,2,0,spurious,20,cross,18,10,4
rand2,2,1,spurious,20,cross,16,430,2
rand2,2,2,spurious,21,cross,15,280,1
rand2,2,3,spurious,21,cross,15,130,3
rand2,2,4,spurious,21,cross,19,260,3
rand2,2,5,spurious,20,cross,18,10,4
rand2,4,0,spurious,20,cross,16,430,2
rand2,4,1,spurious,20,cross,16,460,2
rand2,4,2,spurious,20,cross,16,10,2
rand2,4,3,spurious,20,cross,16,400,2
rand2,4,4,spurious,20,cross,16,470,2
rand2,4,5,spurious,20,cross,16,420,2
rand2,6,0,spurious,20,cross,16,470,2
rand2,6,1,spurious,19,cross,17,10,3
rand2,6,2,spurious,21,cross,19,260,3
rand2,6,3,spurious,19,cross,17,20,3
rand2,6,4,spurious,20,cross,16,480,2
rand2,6,5,spurious,20,cross,16,490,2
rand2,8,0,spurious,20,cross,16,360,2
rand2,8,1,spurious,22,cross,18,870,2
rand2,8,2,spurious,22,cross,16,710,4
rand2,8,3,spurious,21,cross,15,280,1
rand2,8,4,spurious,22,cross,16,120,4
rand2,8,5,spurious,22,cross,18,910,2
rand2,12,0,spurious,20,cross,18,20,4
rand2,12,1,spurious,21,cross,15,10,3
rand2,12,2,spurious,21,cross,17,70,1
rand2,12,3,spurious,23,cross,19,570,3
rand2,12,4,spurious,20,cross,18,10,4
rand2,12,5,spurious,22,cross,18,210,2
rand2,16,0,spurious,23,cross,17,10,3
rand2,16,1,spurious,20,cross,16,10,2
rand2,16,2,spurious,20,cross,16,440,2
rand2,16,3,spurious,21,cross,19,260,3
rand2,16,4,spurious,22,cross,18,400,2
rand2,16,5,spurious,22,cross,16,50,0
rand2,24,0,spurious,23,cross,17,30,3
rand2,24,1,spurious,21,cross,15,30,3
rand2,24,2,spurious,22,cross,16,20,4
rand2,24,3,spurious,24,cross,16,340,4
rand2,24,4,spurious,21,cross,19,20,3
rand2,24,5,spurious,23,cross,17,330,5
rand2,32,0,spurious,23,cross,19,610,3
rand2,32,1,spurious,22,cross,18,20,2
rand2,32,2,spurious,23,cross,17,460,5
rand2,32,3,spurious,21,cross,15,60,1
rand2,32,4,spurious,21,cross,15,20,3
rand2,32,5,spurious,23,cross,17,30,5
