arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,2,3,0.32231404958677684,0.00013053642026837457,0.2132781171250225,0.0989505766725105,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,2,10,0.4628099173553719,4.615660600264527e-7,0.01261100046474287,0.0036418964510643026,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,2,30,0.47107438016528924,5.572573490972235e-16,1.8020311832807484e-11,3.592136527492056e-11,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,2,100,0.47107438016528924,5.177937272763771e-56,2.373958138774052e-51,4.929473041462754e-50,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,2,300,0.47107438016528924,1.1844852356281794e-168,4.017813464657555e-164,3.1364570806370345e-162,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,2,1000,0.47107438016528924,0,0,0,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,2,3000,0.47107438016528924,0,0,0,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,1,0.0743801652892562,0.02881352157631544,0.6484189892333504,0.09123452519935762,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,3,0.30578512396694213,0.00010886830635411761,0.2062755338452627,0.0762661954257708,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,10,0.39669421487603307,3.892770463801232e-7,0.019747418343557057,0.0014671427419066115,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,30,0.4132231404958678,9.509756050089199e-17,5.850737746313828e-12,2.2844472028372184e-11,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,100,0.4132231404958678,1.4800067410305296e-56,4.481581259998745e-52,2.1798718957718775e-50,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,300,0.4132231404958678,4.4870093683292917e-169,7.124840519817978e-165,8.234369419921801e-163,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,1000,0.4132231404958678,0,0,0,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.2,-0.8,0.2,3,3000,0.4132231404958678,0,0,0,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.6,-0.8,0.2,1,1,0.09090909090909091,0.05109249559828475,0.6740684392366911,0.07914934514323778,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.6,-0.8,0.2,1,3,0.371900826446281,0.0002987978013420393,0.25943179401667693,0.08589570949359292,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.6,-0.8,0.2,1,10,0.47107438016528924,0.000008758172673003944,0.059483165506013035,0.037806940392260645,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.6,-0.8,0.2,1,30,0.512396694214876,3.3217589335238613e-9,0.001074923746368681,0.0007682505901225882,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.6,-0.8,0.2,1,100,0.512396694214876,8.803431695563708e-44,5.2952050556395674e-39,3.6022802927369113e-37,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.6,-0.8,0.2,1,300,0.512396694214876,8.45181448819413e-142,1.0108205778142903e-137,3.058282551772479e-135,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,2.6,-0.8,0.2,1,1000,0.512396694214876,0,0,0,NaN,NaN
