noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,1,0,2.010476354925488,2.057386912015599,0.004896845307959822,0,60.97984152079034,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,3,0,2.401682638354887,2.5482141114362644,0.009983093522466353,0,73.78637101320616,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,10,0,3.609402719505258,4.007446699439068,0.013894614084109573,0,115.81222721200771,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,30,0,4.251118079956559,4.714789681507431,0.016835207888785172,0,136.23578583785473,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,100,0,4.32059969580153,4.751924941893729,0.01656006788365519,0,137.17181575960507,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,300,0,4.437782273136867,4.807418947713441,0.018469141200450543,0,138.472479122409,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,1000,0,4.458135142527542,4.8174411971390585,0.019115492082323146,0,138.66793282007373,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,3000,0,4.456616529462263,4.8163146696110495,0.01905177847939303,0,138.63549790647104,-0.003973308349698712,1.9999974569713452
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,1,0,1.9822226180360998,2.034454047286798,0.003183915365733567,0,80.73511095653836,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,3,0,2.327612388312561,2.4816983665412056,0.006652432522010505,0,95.97153757744913,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,10,0,3.3961441951642803,3.806835813226486,0.009013538275641867,0,146.89178274313105,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,30,0,3.983856265698473,4.472625958870216,0.011138672644519369,0,172.50494331508258,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,100,0,4.054696146376821,4.532003521887052,0.012243086558567878,0,174.52282506880417,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,300,0,4.101406769840034,4.565280942691007,0.013279055106544538,0,175.4316010164063,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,1000,0,4.095628222584776,4.550389065492043,0.013240746751178988,0,174.81542512439228,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,3000,0,4.095334028096293,4.549794866863527,0.013228140575669216,0,174.7931036784504,-0.0006642314983085626,1.9999982982596205
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,1,0,1.9850934074319246,2.0491733877534655,0.003983717037645193,0,141.4870141926295,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,3,0,2.311500666851698,2.507927903927698,0.006501036667751515,0,169.08116206246265,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,10,0,3.29511052180049,3.835724429750797,0.007959835910841343,0,258.0205080182641,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,30,0,3.851499342266381,4.48843685519609,0.009318931809665294,0,301.57022098731085,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,100,0,4.013435434004041,4.594502780770762,0.010917794142581323,0,307.4862900925691,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,300,0,4.062059726735384,4.633029227651016,0.015387071165443455,0,309.12029012469304,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,1000,0,4.055187406257551,4.626753203609426,0.016279025806300005,0,308.65260829223496,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,3000,0,4.055177797790794,4.62674456892048,0.01627917341416411,0,308.65197943166686,-0.0006414393115980973,1.999999317945428
0,0.00004,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,1,0,2.278760395544024,2.3322230509474307,0.005550215818086531,0,69.13017168525838,-0.0036033120636507357,1.9999978413871666
0,0.00004,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,3,0,3.317775199501492,3.510027109548774,0.014162426858061726,0,101.6535992338072,-0.0036033120636507357,1.9999978413871666
