noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,1,0,2.2439904359199745,2.2946464868059953,0.0054633439127278974,0,67.98483834372729,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,3,0,3.4289122823218046,3.6554378334290925,0.013719298651630931,0,105.82852087825103,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,10,0,9.417700747221376,10.680990924391851,0.03886464862509383,0,308.72341722625055,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,30,0,13.145297245463079,14.780275289392458,0.061779188849621684,0,427.35383133062555,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,100,0,13.422223585677393,14.90564943561138,0.06034223219602105,0,430.5132510853983,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,300,0,13.920920080217947,15.109043609450703,0.06888938521171492,0,435.4488527278902,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,1000,0,14.035243737980936,15.162321215252732,0.07374572055019298,0,436.7476993799535,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,3000,0,14.031393479545585,15.159663773028768,0.07375864679906895,0,436.6704155588092,-0.004723899298730373,1.9999976209491463
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,1,0,2.210441570990069,2.2669541966583204,0.003560230802936214,0,89.92595671934413,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,3,0,3.3036185406324616,3.538466704214968,0.009054634974494673,0,136.81937333713992,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,10,0,8.689230226219408,9.956714237629093,0.023175347058303732,0,384.1678679417165,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,30,0,11.991673683740983,13.742159961362649,0.03659799694261903,0,530.0423582274093,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,100,0,12.285281868505356,13.947399411241157,0.04057471029377514,0,537.0894327297428,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,300,0,12.535034706613045,14.115032382928138,0.04469772585166006,0,542.4502171085915,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,1000,0,12.538677295252885,14.102420006720397,0.04509548896613472,0,541.8753462446388,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,3000,0,12.537868635004738,14.101446616893602,0.04506719729217556,0,541.8394179075447,-0.0007192879236843635,1.9999983567929092
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,1,0,2.193009749207052,2.257084457458,0.004389153253677659,0,155.7919774855961,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,3,0,3.1678921854955653,3.434042338110493,0.00857800980216908,0,231.5136635882464,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,10,0,7.324092801550787,8.653093986960984,0.017727385344114326,0,582.1351297691909,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,30,0,9.597690056305682,11.462417282174098,0.02418517509850166,0,770.1893956633055,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,100,0,10.247149920943805,11.795975459109476,0.029192182884224118,0,789.4677326439763,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,300,0,10.514591374992333,11.958336499527125,0.04779824726733047,0,798.1220705326297,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,1000,0,10.504707736961551,11.95196096699266,0.05142640256803324,0,797.6099497077296,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,3000,0,10.504694842036338,11.951950386736135,0.05142854847649202,0,797.6091844829525,-0.0006163843685493944,1.99999934537467
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,1,0,2.5706658753548055,2.6288108409900457,0.006258363900789727,0,77.88676881689877,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,3,0,5.007413356411417,5.327255653100051,0.020376497606990496,0,154.2457197996955,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,10,0,16.156190141455095,17.857283037842098,0.07687803280846683,0,516.5109208789264,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,30,0,19.831092117176667,21.80822382460025,0.14321664278356105,0,631.5626215657979,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,100,0.1111111111111111,20.096071092074176,21.935718337626128,0.2898142439236613,0.16666666666666666,636.1818238674103,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,300,0.1111111111111111,17.038448297888436,20.40561121467057,22.113932244842683,0.16666666666666666,797.6544954690007,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,1000,0.2222222222222222,17.199523846816305,18.67532226563969,22.10556280536022,0.3333333333333333,899.5202905802573,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,3000,0.2222222222222222,17.196082818945758,18.671002715055106,22.10781519872895,0.3333333333333333,899.4230522688156,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,1,0,2.532034260662312,2.5965342777264877,0.004077275785956452,0,103.00182519697857,NaN,NaN
0,0.0001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,2,3,0,4.829760138883947,5.154783314871217,0.013322440605123475,0,199.33385281663627,NaN,NaN
